Spcies,Vigna Umb,Vigna rad,Score
0,93000000,63540020,7.7
0,90000000,233630478,7.7
0,65000000,33048353,7.7
0,80000000,104054514,7.7
0,70000000,38345403,7.7
0,69000000,251501645,7.7
0,65000000,210592590,7.7
0,60000000,75280058,7.7
0,70000000,77862546,7.7
0,47000000,6167817,7.7
0,55000000,69951824,7.7
0,50000000,147637474,7.7
0,170000000,208543795,7.6
0,150000000,289994397,7.6
0,150000000,400736600,7.6
0,130000000,215395021,7.6
0,130000000,424645577,7.6
0,113000000,380262555,7.6
0,94000000,9213,7.6
0,93000000,176740650,7.6
0,90000000,100012500,7.6
0,90000000,209019489,7.6
0,68000000,51396781,7.6
0,68000000,85707116,7.6
0,70000000,47379090,7.6
0,69500000,54222000,7.6
0,59000000,176387405,7.6
0,62000000,172071312,7.6
0,61000000,148775460,7.6
0,65000000,100003492,7.6
0,54000000,66676062,7.6
0,52500000,57386369,7.6
0,53000000,25031037,7.6
0,52000000,36385763,7.6
0,60000000,105264608,7.6
0,45000000,88504640,7.6
0,50000000,75605492,7.6
0,250000000,458991599,7.5
0,250000000,301956980,7.5
0,250000000,255108370,7.5
0,185000000,130468626,7.5
0,170000000,73820094,7.5
0,150000000,292000866,7.5
0,125000000,317557891,7.5
0,110000000,214948780,7.5
0,125000000,186830669,7.5
0,65000000,119412921,7.5
0,110000000,102608827,7.5
0,102000000,27098580,7.5
0,100000000,77679638,7.5
0,90000000,120618403,7.5
0,60000000,31494270,7.5
0,76000000,368049635,7.5
0,50000000,2208939,7.5
0,57000000,60984028,7.5
0,150000000,195000874,7.4
0,145000000,209364921,7.4
0,150000000,93926386,7.4
0,130000000,180191634,7.4
0,135000000,77564037,7.4
0,100000000,261970615,7.4
0,90000000,100853835,7.4
0,75000000,157299717,7.4
0,75000000,134006721,7.4
0,75000000,183132370,7.4
0,65000000,182204440,7.4
0,60000000,37479778,7.4
0,70000000,51225796,7.4
0,50000000,73343413,7.4
0,40000000,95720716,7.4
0,52000000,34580635,7.4
0,50000000,84244877,7.4
0,50000000,52822418,7.4
0,50000000,47105085,7.4
0,225000000,423032628,7.3
0,200000000,373377893,7.3
0,200000000,268488329,7.3
0,105000000,144812796,7.3
0,178000000,154985087,7.3
0,160000000,46978995,7.3
0,150000000,165230261,7.3
0,145000000,103400692,7.3
0,139000000,403706375,7.3
0,130000000,148337537,7.3
0,125000000,209805005,7.3
0,135000000,187165546,7.3
0,100000000,89296573,7.3
0,10000000,10200000,7.3
0,90000000,250147615,7.3
0,90000000,58229120,7.3
0,87000000,120147445,7.3
0,90000000,111544445,7.3
0,85000000,57010853,7.3
0,78000000,407999255,7.3
0,80000000,112225777,7.3
0,80000000,60507228,7.3
0,80000000,34566746,7.3
0,75000000,117698894,7.3
0,60000000,77032279,7.3
0,75000000,45434443,7.3
0,65000000,55637680,7.3
0,60000000,71844424,7.3
0,58800000,350123553,7.3
0,55000000,134218018,7.3
